,epsilon,min_samples,sc,db,ch
0,0.001,2,-0.8280579344895589,1.1505865237275614,2.3828274245568823
1,0.002,2,-0.7254151920379012,1.1264062640231842,2.7595860108466574
2,0.003,2,-0.5533011638925646,1.084472937444264,3.3901593624371946
3,0.004,2,-0.39489792899421955,1.1216115118866503,4.1029673990022
4,0.005,2,-0.2381470510516158,1.1358846786640227,5.627359410764087
5,0.006,2,-0.11932493235804212,1.194312941910449,7.410761548673618
6,0.007,2,-0.021120666768363255,1.2301835301835387,11.081698145056146
7,0.008,2,0.03672240307185941,1.2361492608114784,17.325687501587737
8,0.009000000000000001,2,0.04694986260981709,1.2795724288524277,29.055589079885134
9,0.010000000000000002,2,0.05316771579436198,1.614957055454106,46.02534543072134
10,0.011,2,0.00935246945061494,1.4728931358701598,71.51753732470333
11,0.012,2,-0.009348101686282716,1.3553963935640903,116.71754768570064
12,0.013000000000000001,2,-0.036920388166166364,1.3667415754919714,173.58922838601615
13,0.014000000000000002,2,-0.0858385681144395,1.4998396562174325,239.05216203605445
14,0.015,2,-0.12140438597601405,1.5306104123324034,321.36273782720593
15,0.016,2,-0.1932674193178722,1.5446748283127532,319.2181182889461
16,0.017,2,-0.26442901557166276,1.7606498976497797,269.4445057230499
17,0.018000000000000002,2,-0.37822206895083166,1.7898828169068028,132.78079210387833
18,0.019000000000000003,2,-0.38114304827741213,1.6933425492345777,142.79119799324428
19,0.02,2,-0.5282399556474731,1.994509807632168,38.55818531469599
20,0.001,3,-0.3456486240252286,1.4350230803094022,2.909215127834557
21,0.002,3,-0.7297573563951091,1.1085516138776228,4.140443260244743
22,0.003,3,-0.7566697055967753,0.9862477172825602,4.8816293151508345
23,0.004,3,-0.6798899550128246,0.9508458416490299,5.791074669228718
24,0.005,3,-0.5337510719681738,1.0075603090530438,7.3989272239449
25,0.006,3,-0.3960132280525058,1.0300820935097144,9.215272337734307
26,0.007,3,-0.2748005443024683,1.118039297806899,13.17725484970977
27,0.008,3,-0.17691863112778233,1.131627321699062,19.85531470691174
28,0.009000000000000001,3,-0.10211293177796837,1.1642650354354473,31.523558333249376
29,0.010000000000000002,3,-0.052770988468669754,1.352181686498915,46.31945428644754
30,0.011,3,-0.06953351131441096,1.4902738653130896,70.52073623566474
31,0.012,3,-0.05826395260873612,1.3868901427033105,110.28612496256554
32,0.013000000000000001,3,-0.05978546337614818,1.401515162905833,164.7570813899079
33,0.014000000000000002,3,-0.08266101469270455,1.4688034169802042,257.54347967218814
34,0.015,3,-0.10156212258549657,1.5294789102370523,358.57496908226693
35,0.016,3,-0.1409335612455049,1.41167544032563,407.17257096889654
36,0.017,3,-0.20342082245079968,1.7507434828760078,384.0773057328173
37,0.018000000000000002,3,-0.30553919776927047,1.7812408925805936,199.06306164938118
38,0.019000000000000003,3,-0.3609831007071991,1.7901940028590138,208.14823814300954
39,0.02,3,-0.502582010653523,2.069160456460646,52.479152031232495
40,0.001,2,-0.8280579344895589,1.1505865237275614,2.3828274245568823
41,0.002,2,-0.7254151920379012,1.1264062640231842,2.7595860108466574
42,0.003,2,-0.5533011638925646,1.084472937444264,3.3901593624371946
43,0.004,2,-0.39489792899421955,1.1216115118866503,4.1029673990022
44,0.005,2,-0.2381470510516158,1.1358846786640227,5.627359410764087
45,0.006,2,-0.11932493235804212,1.194312941910449,7.410761548673618
46,0.007,2,-0.021120666768363255,1.2301835301835387,11.081698145056146
47,0.008,2,0.03672240307185941,1.2361492608114784,17.325687501587737
48,0.009000000000000001,2,0.04694986260981709,1.2795724288524277,29.055589079885134
49,0.010000000000000002,2,0.05316771579436198,1.614957055454106,46.02534543072134
50,0.011,2,0.00935246945061494,1.4728931358701598,71.51753732470333
51,0.012,2,-0.009348101686282716,1.3553963935640903,116.71754768570064
52,0.013000000000000001,2,-0.036920388166166364,1.3667415754919714,173.58922838601615
53,0.014000000000000002,2,-0.0858385681144395,1.4998396562174325,239.05216203605445
54,0.015,2,-0.12140438597601405,1.5306104123324034,321.36273782720593
55,0.016,2,-0.1932674193178722,1.5446748283127532,319.2181182889461
